PlantID	Rank	PlantNum	Treatment	SampleID	Truss	DevStage	FruitAge	HarvestDate	HarvestHour	FruitPosition	FruitDiameter	FruitHeight	FruitFW	DW	AliquotID	PGM	F16BP_Cyt	PyrK	CitS	PPI	AcoS	PFK	FruS	F16BP_Stroma	GluS	ISODH_NAD	EnoS	ISODH_NADP	PEPC	FBPA	SucCoALig	MALDH	AlaS	FumS	AspS	GLUDH_NADP	GAPDH_NAD	GAPDH_NADP	GLUDH_NAD	TPI	PhoS	NI	AciS	G6PDH	UGPS	SucS	MAL_NAD	ShiS	MAL_NADP	PGI_tot	SolStarchS	AGPS	SucPhosphateS	PoolID	glucose	saccharose	fructose	galactose	mannose	rhamnose	acetate	chlorogenate	citrate	fumarate	galacturonate	malate	quinate	alanine	asparagine	aspartate	GABA	glutamine	glutamate	isoleucine	phenylalanine	tryptophane	tyrosine	valine	pyroglutamate	trigonelline	choline	inositol
A1	A	1	Control	115	T7	FF.01	07DPA	40393	0.545138889	3	11.95	10.42	0.81		397	4924.26	17.89	1327.67	50.79	2225.01	657.4	160.33	638.3	398.38	458.04	495.24	642.6	150.74	932.94	11538.48	1403.92	74896.13	1318.7	1729.55	14854.4	13.25	7724.98	1796.14	333.76	244107.41	19213.68	169.08	667.4070177	331.66	3999.19	30.85	1950.9	765.29	511.05	2392.79	117.61	951.5	115.14	F1	409.3950483	70.36199274	372.9002229	0	3.42180438	4.306313448	9.690942657	11.78997945	181.0769102	0.103071107	0	185.6358846	5.578595942	1.995140421	1.748734087	7.680023202	6.06842543	20.29269133	14.04512021	0.697391357	1.132534972	0	0.676021368	0.735527232	8.111344283	2.856802713	5.84269406	67.45180334
A1	A	1	Control	121	T6	FF.03	22DPA	40395	0.509722222	3	36.13	31.77	21.43		409	3123.06	8.67	450.85	23.53	1194.12	288.49	125.19	175.92	209.7	218.39	188.53	491.64	37.3	462.6	3038.43	356.73	22939.99	1198.77	NA	2957.7	7.97	2722.27	1917.11	58.56	73776.25	8325.63	207.99	743.265486	145.28	3213.34	257.36	1608.47	150.96	113.36	494.25	NA	735.91	142.14	F9	725.0013475	33.0778677	871.7036417	0	3.232350169	5.516332925	3.495464043	1.948569182	79.30958388	0.129082643	0	115.5830648	0.544661314	2.230387039	3.683853624	6.736783375	14.60646855	17.09577071	16.99922813	2.778422121	4.454866926	0	1.198732384	1.891115244	8.426479732	1.059081571	5.645443527	67.54165705
A1	A	1	Control	164	T5	FR.01	42DPA	40410	0.5	2	51.09	46.85	64.05		493	1597.7	5.16	237.69	34.63	578.74	84.92	66.91	82.22	72.58	47.22	133.34	161.85	NA	418.36	2015.58	281.61	15482.61	1116.57	186.23	1411.45	5.8	1246.22	356.67	20.66	35256.63	3647.71	224.85	-742.1088258	81.69	2465.4	82.43	15.15	36.84	122.35	309.77	NA	184.62	NA	F17	723.1068785	27.73666946	970.4150597	0	3.654343367	5.728018045	4.849332284	1.99337061	131.8046431	0.119820786	0	165.5478536	0.212240985	2.662655889	11.54329529	14.36960392	19.03930683	38.1485863	21.37250541	4.099573518	6.574502311	0.291991692	2.646476483	2.315179846	30.31021155	1.202273885	6.81203826	81.70391383
A1	A	1	Control	353	T5	FR.04	55DPA	40423	0.520833333	5	48.28	43.35	66.64		1019	779.85	17.04	373.57	NA	395.51	153.66	66.41	58.38	37.27	6.47	314.05	285.18	36.58	144.84	3581.51	468.57	10669.25	1175.41	NA	NA	NA	1979.88	453.23	49.99	24052.32	2274.25	217.41	459.271592	166.96	3523.88	465.36	26.15	156.17	64.52	431.83	58.1	297.24	188.56	F23	801.7624659	27.50853514	1103.460076	4.104895086	3.988415249	6.108213941	3.688219949	0.932324609	178.0210612	0.085297783	2.175341435	129.6060145	0.37353848	2.329489076	13.88117049	29.2467653	17.83951068	114.4036222	78.5800054	1.936887845	5.829685507	0.583694715	1.351374766	0.865623726	21.56744534	0.938771535	7.583733349	70.65887085
A2	A	2	Control	355	T5	FR.04	55DPA	40423	0.520833333	3	49.84	44.93	66.98		1023	635.13	9.08	300.12	NA	338.39	100.22	64.27	39.13	33.65	9.9	227.51	117.39	80.27	125.32	1518.21	145.18	7966.17	897.46	NA	NA	2.42	761.63	625.82	67.78	17631.32	5598.08	35.12	625.0095855	93.21	2485.45	379.72	182.92	66.71	20.5	245.79	63.01	212.1	127.77	F23	801.7624659	27.50853514	1103.460076	4.104895086	3.988415249	6.108213941	3.688219949	0.932324609	178.0210612	0.085297783	2.175341435	129.6060145	0.37353848	2.329489076	13.88117049	29.2467653	17.83951068	114.4036222	78.5800054	1.936887845	5.829685507	0.583694715	1.351374766	0.865623726	21.56744534	0.938771535	7.583733349	70.65887085
A2	A	2	Control	413	T7	FR.02	47DPA	40435	0.5	1	60.48	54.23	106.13		1139	1073.54	10.4	185.82	20.02	336.79	113.81	53.05	54.84	43.88	121.14	275.09	164.16	6.72	174.96	1658.17	NA	4542.1	1568.66	NA	NA	4.34	2639.06	1731.82	54.44	11266.4	2504.88	45.19	981.9460729	100.47	2814.26	81.91	1667.39	101.62	166.35	551.11	3.66	267.95	NA	F20	965.3261679	31.79354234	1155.474234	3.128774247	4.116564583	4.32039138	3.189275442	1.889941003	164.5021004	0.103386845	0.289777856	163.8819021	0.467825563	1.698720361	11.92433532	17.97510252	17.3759889	55.09049203	44.64526963	2.144356138	4.251887801	0.279463729	1.018151689	1.104921329	18.88835918	1.038534369	6.601750777	58.98161904
A3	A	3	Control	117	T7	FF.01	07DPA	40393	0.553472222	3	13.44	12.39	1.14		401	3698.58	NA	987.72	33.27	2091.11	637.95	118.84	603.73	247.34	368.98	336.88	549.98	NA	895.11	9331.13	1528.87	63526.07	1770.14	1296.22	15313.79	15.4	7424.94	2231.73	279.59	210861.82	23252.33	285.86	912.7909316	341.78	3904.78	330.33	1635.96	827.57	351.12	1342.07	71.14	787.02	83.12	F1	409.3950483	70.36199274	372.9002229	0	3.42180438	4.306313448	9.690942657	11.78997945	181.0769102	0.103071107	0	185.6358846	5.578595942	1.995140421	1.748734087	7.680023202	6.06842543	20.29269133	14.04512021	0.697391357	1.132534972	0	0.676021368	0.735527232	8.111344283	2.856802713	5.84269406	67.45180334
A4	A	4	Control	158	T5	FF.04	35DPA	40409	0.541666667	5	58.38	49.3	92.86		481	1702.19	24.39	276.28	NA	769.92	214.97	88.58	125.4	130.93	70.67	197.18	81.01	114.91	528.43	2462.63	386.67	24985.49	1352.45	155.99	2608.92	0.9	2397.05	923.09	18.37	63732.31	4280.77	128.67	479.385729	134.13	3512.5	574.82	724	81.47	159.41	31.37	14.87	585.03	29.61	F15	751.8424341	23.0485025	948.7250199	0	3.616973157	4.790809514	4.107683371	1.853243119	94.74463687	0.140592567	0	151.0713009	0.323809562	2.820033984	6.727242956	9.09474141	17.04877047	27.1689593	21.02464366	4.019410083	5.664438763	0	2.163439419	2.562570229	20.60263815	1.123996663	5.833861445	81.83700258
A5	A	5	Control	109	T5	FF.03	22DPA	40393	0.488194444	7	43.37	35.77	38.73		385	1767.14	11.97	351.52	43.95	881.43	174.81	85.89	91.79	127.57	82.19	135.55	408.3	83.79	444.24	1553.83	227.16	22754.93	814.38	12.87	3255	NA	1907.55	578.81	49.74	82441.9	5119.17	96.17	866.7998389	87.99	3315.25	241.12	956.24	159.12	373.08	416.89	84.47	645.69	43.77	F8	651.3324239	32.78343676	798.6149063	0	3.379543288	4.461028255	4.367166457	ND	85.47568681	0.110196862	0	124.7858892	0.422999589	2.493387661	4.590044062	6.895693168	12.4334471	17.7300445	16.27546562	3.493802309	5.410326375	0	1.784152015	4.201914379	8.096746836	1.134638747	5.764232189	70.93060028
A5	A	5	Control	134	T7	FF.02	15DPA	40400	0.5	3	27.89	23.8	9.88		433	3115.52	19.08	911.21	64.73	2049.42	296.3	117.01	466.4	241.41	265.13	180.87	454.75	157.9	943.05	5438.31	565.25	47470.59	1012.34	822.45	10538.55	5.33	4536.43	1784.52	96.08	158487.29	6220.93	258.4	642.2209594	151.99	3560.87	473.18	NA	285.46	229.53	941.9	149.49	746.82	138.89	F6	619.3250882	45.83076382	651.0915378	0	3.606358391	5.526360527	3.843914663	5.08350871	97.710292	0.082118218	0	106.4198333	3.420916331	3.415889747	1.301733073	4.234554583	6.567868814	13.37323565	10.93796564	1.987782252	2.481236394	0	0.575316322	1.366926164	10.06913544	1.091487976	4.429034119	49.48119674
